GLIMS_ID,Glacier_Name,Scenario,Start_Year,Start_Volume_km3,Start_Area_km2,End_Year,End_SMB_mwe,End_Volume_km3,End_Area_km2,Volume_Change_km3,Area_Change_km2
G006129E45117N,Sarennes 1,ssp245,2015,0.1085,2.3244,2100.0000,-3.0594,0.0000,0.0006,-0.1085,-2.3237
G006129E45117N,Sarennes 1,ssp585,2015,2015,0.1085,2.3244,2100.0000,-3.2270,0.0000,0.0006,-0.1085,-2.3237
G006149E45143N,des Quirlies,ssp245,2015,0.0000,0.0006,2016.0000,-2.4202,0.0000,0.0006,0.0000,0.0000
G006149E45143N,des Quirlies,ssp585,2015,0.0000,0.0006,2016.0000,-2.9944,0.0000,0.0006,0.0000,0.0000
G006159E45160N,Saint Sorlin,ssp245,2015,0.0177,1.2725,2042.0000,-2.8618,0.0000,0.0006,-0.0177,-1.2719
G006159E45160N,Saint Sorlin,ssp585,2015,0.0177,1.2725,2042.0000,-2.8516,0.0000,0.0006,-0.0177,-1.2719
G006226E45003N,de Mont de Lans,ssp245,2015,0.0928,2.7763,2085.0000,-3.3350,0.0000,0.0006,-0.0928,-2.7756
G006226E45003N,de Mont de Lans,ssp585,2015,0.0928,2.7763,2085.0000,-3.9051,0.0000,0.0006,-0.0928,-2.7756
G006252E45009N,de la Girose,ssp245,2015,0.1746,4.6806,2064.0000,-3.3805,0.0000,0.0006,-0.1746,-4.6800
G006252E45009N,de la Girose,ssp585,2015,0.1746,4.6806,2064.0000,-3.6555,0.0000,0.0006,-0.1746,-4.6800
G006256E44974N,de la Selle,ssp245,2015,0.0312,1.2412,2044.0000,-2.8774,0.0000,0.0006,-0.0312,-1.2406
G006256E44974N,de la Selle,ssp585,2015,0.0312,1.2412,2043.0000,-3.0194,0.0000,0.0006,-0.0312,-1.2406
G006275E44878N,des Rouies,ssp245,2015,0.0180,1.1956,2038.0000,-3.1662,0.0000,0.0006,-0.0180,-1.1950
G006275E44878N,des Rouies,ssp585,2015,0.0180,1.1956,2038.0000,-2.9876,0.0000,0.0006,-0.0180,-1.1950
G006334E44865N,de la Pilatte,ssp245,2015,0.0234,1.8600,2038.0000,-2.7154,0.0000,0.0006,-0.0234,-1.8594
G006334E44865N,de la Pilatte,ssp585,2015,0.0234,1.8600,2038.0000,-2.5392,0.0000,0.0006,-0.0234,-1.8594
G006339E45007N,du Lautaret,ssp245,2015,0.0122,0.9319,2040.0000,-3.0654,0.0000,0.0006,-0.0122,-0.9313
G006339E45007N,du Lautaret,ssp585,2015,0.0122,0.9319,2041.0000,-2.7470,0.0000,0.0006,-0.0122,-0.9313
G006347E44919N,du vallon de la Pilatte,ssp245,2015,0.0040,0.3719,2033.0000,-3.0747,0.0000,0.0006,-0.0040,-0.3713
G006347E44919N,du vallon de la Pilatte,ssp585,2015,0.0040,0.3719,2034.0000,-3.2126,0.0000,0.0006,-0.0040,-0.3713
G006367E44861N,du Sele,ssp245,2015,0.0215,0.8688,2044.0000,-2.5180,0.0000,0.0006,-0.0215,-0.8681
G006367E44861N,du Sele,ssp585,2015,0.0215,0.8688,2043.0000,-2.7435,0.0000,0.0006,-0.0215,-0.8681
G006382E44944N,Blanc,ssp245,2015,0.6671,5.0719,2100.0000,-3.2850,0.0057,0.2612,-0.6614,-4.8106
G006382E44944N,Blanc,ssp585,2015,0.6671,5.0719,2100.0000,-3.4781,0.0035,0.1963,-0.6637,-4.8756
G006439E44956N,du Casset,ssp245,2015,0.0000,0.0006,2018.0000,-2.7541,0.0000,0.0006,-0.0000,0.0000
G006439E44956N,du Casset,ssp585,2015,0.0000,0.0006,2018.0000,-2.7945,0.0000,0.0006,-0.0000,0.0000
G006629E45295N,de Gebroulaz,ssp245,2015,0.1198,3.1944,2085.0000,-2.2404,0.0000,0.0006,-0.1198,-3.1938
G006629E45295N,de Gebroulaz,ssp585,2015,0.1198,3.1944,2084.0000,-2.8668,0.0000,0.0006,-0.1198,-3.1938
G006745E45302N,de la Mahure 1,ssp245,2015,0.0104,0.4606,2049.0000,-2.4409,0.0000,0.0006,-0.0104,-0.4600
G006745E45302N,de la Mahure 1,ssp585,2015,0.0104,0.4606,2049.0000,-2.7366,0.0000,0.0006,-0.0104,-0.4600
G006756E45318N,de l'Arpont,ssp245,2015,0.1019,2.5831,2077.0000,-2.5808,0.0000,0.0006,-0.1019,-2.5825
G006756E45318N,de l'Arpont,ssp585,2015,0.1019,2.5831,2076.0000,-2.8762,0.0000,0.0006,-0.1019,-2.5825
G006763E45344N,du Pelve 1,ssp245,2015,0.1085,2.3244,2100.0000,-3.0594,0.0000,0.0006,-0.1085,-2.3237
G006763E45344N,du Pelve 1,ssp585,2015,0.1085,2.3244,2100.0000,-3.2270,0.0000,0.0006,-0.1085,-2.3237
G006780E45369N,de l'Arcellin - Roche Ferran 1,ssp245,2015,0.1224,2.1300,2089.0000,-2.4888,0.0000,0.0006,-0.1224,-2.1294
G006780E45369N,de l'Arcellin - Roche Ferran 1,ssp585,2015,0.1224,2.1300,2089.0000,-3.1522,0.0000,0.0006,-0.1224,-2.1294
G006784E45784N,de Tre la Tete 1,ssp245,2015,0.3012,6.7644,2088.0000,-2.8394,0.0000,0.0006,-0.3012,-6.7637
G006784E45784N,de Tre la Tete 1,ssp585,2015,0.3012,6.7644,2086.0000,-2.0090,0.0000,0.0006,-0.3012,-6.7637
G006874E45531N,de la Gurraz,ssp245,2015,0.0364,1.3106,2058.0000,-2.6463,0.0000,0.0006,-0.0364,-1.3100
G006874E45531N,de la Gurraz,ssp585,2015,0.0364,1.3106,2058.0000,-2.8051,0.0000,0.0006,-0.0364,-1.3100
G006880E45521N,de la Savinaz,ssp245,2015,0.0151,0.4756,2069.0000,-3.1434,0.0000,0.0006,-0.0151,-0.4750
G006880E45521N,de la Savinaz,ssp585,2015,0.0151,0.4756,2069.0000,-2.8002,0.0000,0.0006,-0.0151,-0.4750
G006881E45423N,de la Grande Motte,ssp245,2015,0.0481,2.5081,2072.0000,-2.5679,0.0000,0.0006,-0.0481,-2.5075
G006881E45423N,de la Grande Motte,ssp585,2015,0.0481,2.5081,2073.0000,-2.5614,0.0000,0.0006,-0.0481,-2.5075
G006904E45335N,du Vallonnet,ssp245,2015,0.0767,1.7875,2069.0000,-3.1189,0.0000,0.0006,-0.0767,-1.7869
