GLIMS_ID,Glacier_Name,Scenario,Year_of_Disappearance
G006129E45117N,Sarennes 1,ssp245,2015
G007117E45255N,Baounet 1,ssp245,2015
G006149E45143N,des Quirlies,ssp245,2016
G006439E44956N,du Casset,ssp245,2018
G006347E44919N,du vallon de la Pilatte,ssp245,2033
G006275E44878N,des Rouies,ssp245,2038
G006334E44865N,de la Pilatte,ssp245,2038
G006339E45007N,du Lautaret,ssp245,2040
G006159E45160N,Saint Sorlin,ssp245,2042
G006256E44974N,de la Selle,ssp245,2044
G006367E44861N,du Sele,ssp245,2044
G006745E45302N,de la Mahure 1,ssp245,2049
G007143E45363N,du Grand Mean Nord 1,ssp245,2049
G007144E45371N,du Mulinet,ssp245,2054
G006988E45515N,de la Sassiere,ssp245,2056
G006874E45531N,de la Gurraz,ssp245,2058
G006252E45009N,de la Girose,ssp245,2064
G007067E45221N,de Rochemelon,ssp245,2067
G006880E45521N,de la Savinaz,ssp245,2069
G006904E45335N,du Vallonnet,ssp245,2069
G006881E45423N,de la Grande Motte,ssp245,2072
G006756E45318N,de l'Arpont,ssp245,2077
G006988E45987N,du Tour,ssp245,2079
G006226E45003N,de Mont de Lans,ssp245,2085
G006629E45295N,de Gebroulaz,ssp245,2085
G006784E45784N,de Tre la Tete 1,ssp245,2088
G006780E45369N,de l'Arcellin - Roche Ferran 1,ssp245,2089
G006129E45117N,Sarennes 1,ssp585,2015
G007117E45255N,Baounet 1,ssp585,2015
G006149E45143N,des Quirlies,ssp585,2016
G006439E44956N,du Casset,ssp585,2018
G006347E44919N,du vallon de la Pilatte,ssp585,2034
G006275E44878N,des Rouies,ssp585,2038
G006334E44865N,de la Pilatte,ssp585,2038
G006339E45007N,du Lautaret,ssp585,2041
G006159E45160N,Saint Sorlin,ssp585,2042
G006256E44974N,de la Selle,ssp585,2043
G006367E44861N,du Sele,ssp585,2043
G006745E45302N,de la Mahure 1,ssp585,2049
G007143E45363N,du Grand Mean Nord 1,ssp585,2049
G007144E45371N,du Mulinet,ssp585,2054
G006988E45515N,de la Sassiere,ssp585,2057
G006874E45531N,de la Gurraz,ssp585,2058
G006252E45009N,de la Girose,ssp585,2064
G007067E45221N,de Rochemelon,ssp585,2066
G006904E45335N,du Vallonnet,ssp585,2067
G006880E45521N,de la Savinaz,ssp585,2069
G006881E45423N,de la Grande Motte,ssp585,2073
G006756E45318N,de l'Arpont,ssp585,2076
G006988E45987N,du Tour,ssp585,2079
G006629E45295N,de Gebroulaz,ssp585,2084
G006226E45003N,de Mont de Lans,ssp585,2085
G006784E45784N,de Tre la Tete 1,ssp585,2086
G006780E45369N,de l'Arcellin - Roche Ferran 1,ssp585,2089
