GLIMS ID,Glacier Name,Massif,Area (km²),Mean Elevation (m a.s.l.)
G006934E45883N,Mer de Glace 1,Mont Blanc,28.87,2868.59
G006149E45143N,des Quirlies,Grandes Rousses,1.76,2961.56
G006159E45160N,Saint Sorlin,Grandes Rousses,2.07,2922.28
G006275E44878N,des Rouies,Ecrins,1.24,3284.51
G006334E44865N,de la Pilatte,Ecrins,2.26,2933.05
G006367E44861N,du Sele,Ecrins,1.42,3005.45
G006347E44919N,du vallon de la Pilatte,Ecrins,0.67,3446.42
G006382E44944N,Blanc,Ecrins,4.70,3196.09
G006439E44956N,du Casset,Ecrins,0.87,3189.49
G006256E44974N,de la Selle,Ecrins,1.27,3186.76
G006226E45003N,de Mont de Lans,Ecrins,2.71,3233.62
G006252E45009N,de la Girose,Ecrins,4.65,3223.74
G006339E45007N,du Lautaret,Ecrins,1.21,3038.37
G006629E45295N,de Gebroulaz,Vanoise,2.87,3022.78
G006756E45318N,de l'Arpont,Vanoise,3.16,3291.92
G006763E45344N,du Pelve 1,Vanoise,2.67,3232.53
G006780E45369N,de l'Arcellin - Roche Ferran 1,Vanoise,2.35,3050.75
G006745E45302N,de la Mahure 1,Vanoise,2.24,2985.32
G006881E45423N,de la Grande Motte,Vanoise,3.15,3025.99
G006904E45335N,du Vallonnet,Vanoise,1.88,3282.27
G007067E45221N,de Rochemelon,Haute Maurienne,1.37,3130.32
G007117E45255N,Baounet 1,Haute Maurienne,1.35,3018.42
G007143E45363N,du Grand Mean Nord 1,Vanoise,1.36,3082.42
G007144E45371N,du Mulinet,Haute Maurienne,1.74,3083.78
G006988E45515N,de la Sassiere,Haute Vallee de l'Isere,1.87,3258.28
G006880E45521N,de la Savinaz,Haute Vallee de l'Isere,0.76,3270.54
G006874E45531N,de la Gurraz,Haute Vallee de l'Isere,1.58,3099.93
G006784E45784N,de Tre la Tete 1,Mont Blanc,7.39,2961.66
G006992E45913N,de Talefre,Mont Blanc,6.65,2998.27
G006988E45987N,du Tour,Mont Blanc,6.91,3005.66
G006985E45951N,d'Argentiere,Mont Blanc,12.07,2860.36
G006129E45117N,Sarennes 1,Grandes Rousses,0.05,2928.67
